,,,,,Time (min),Velocity (km/h)
,,,,,0,0
,,,,,0.5,27
,,,,,1,34
,,,,,1.5,14
,,,,,2,28
,,,,,2.5,25
,,,,,3,36
,,,,,3.5,8
,,,,,4,18
,,,,,4.5,0
,,,,,5,24
,,,,,5.5,6
,,,,,6,58
,,,,,6.5,46
,,,,,7,53
,,,,,7.5,23
,,,,,8,35
,,,,,8.5,22
,,,,,9,22
,,,,,9.5,48
,,,,,10,25
,,,,,10.5,37
,,,,,11,44
,,,,,11.5,56
,,,,,12,38
,,,,,12.5,25
,,,,,13,43
,,,,,13.5,64
,,,,,14,79
,,,,,14.5,83
,,,,,15,26
,,,,,15.5,28
,,,,,16,67
,,,,,16.5,66
,,,,,17,70
,,,,,17.5,52
,,,,,18,55
,,,,,18.5,70
,,,,,19,77
,,,,,19.5,14
,,,,,20,44
,,,,,20.5,43
,,,,,21,52
,,,,,21.5,13
,,,,,22,0
